# Princeton WordNet 3.0 irregular inflections — surface → base form(s).
# GENERATED by scripts/build-irregulars.ts. Columns:
#   surface <TAB> base[,base] <TAB> pos[,pos] (v|n|a|r) <TAB> reader (1 = safe
#   without a verifier, so englishLemma may use it; 0 = edge-only, see the script)
canning	can	v	1
canopied	canopy	v	0
canter	canter	a	0
canthi	canthus	n	1
cantier	canty	a	1
cantiest	canty	a	1
canulae	canula	n	1
canzoni	canzone	n	1
capita	caput	n	1
capitula	capitulum	n	1
capped	cap	v	0
capping	cap	v	1
capricci	capriccio	n	1
carabinieri	carabiniere	n	1
carbonadoes	carbonado	n	1
carburetted	carburet	v	1
carburetting	carburet	v	1
carcinomata	carcinoma	n	1
cargoes	cargo	n	1
carides	caryatid	n	1
carillonned	carillon	v	1
carillonning	carillon	v	1
carinae	carina	n	1
carnied	carny	v	1
carnified	carnify	v	1
caroli	carolus	n	1
carolled	carol	v	1
carolling	carol	v	1
carpi	carpus	n	1
carpogonia	carpogonium	n	1
carried	carry	v	1
carryings-on	carrying-on	n	1
caryopses	caryopsis	n	1
caryopsides	caryopsis	n	1
casefied	casefy	v	1
caster	caster	a	0
castrati	castrato	n	1
catabases	catabasis	n	1
cataclases	cataclasis	n	1
cataloes	catalo	n	1
catalyses	catalysis	n	1
catchier	catchy	a	1
catchiest	catchy	a	1
catenae	catena	n	1
catfishes	catfish	n	1
cathari	cathar	n	0
cathexes	cathexis	n	1
catnapped	catnap	v	1
catnapping	catnap	v	1
cattaloes	cattalo	n	1
catted	cat	v	1
cattier	catty	a	1
cattiest	catty	a	1
catting	cat	v	1
caudices	caudex	n	1
caught	catch	v	1
caules	caulis	n	1
cavatine	cavatina	n	1
cavefishes	cavefish	n	1
cavetti	cavetto	n	1
cavilled	cavil	v	1
cavilling	cavil	v	1
cavo-rilievi	cavo-rilievo	n	1
ceca	cecum	n	1
cellae	cella	n	1
cembali	cembalo	n	1
centesimi	centesimo	n	1
centra	centrum	n	1
cephalothoraces	cephalothorax	n	1
cer	cer	a	0
cercariae	cercaria	n	1
cercariiae	cercaria	n	1
cerci	cercus	n	1
cerebella	cerebellum	n	1
cerebra	cerebrum	n	1
certified	certify	v	0
cervices	cervix	n	1
cestuses	caestus	n	1
cesurae	cesura	n	1
chadarim	cheder	n	1
chaetae	chaeta	n	1
chaises_longues	chaise_longue	n	0
chalazae	chalaza	n	1
challoth	hallah	n	1
chalutzim	chalutz	n	1
chancier	chancy	a	1
chanciest	chancy	a	1
channelled	channel	v	1
channelling	channel	v	1
chapaties	chapati	n	1
chapatties	chapatti	n	1
chapeaux	chapeau	n	1
chapped	chap	v	0
chapping	chap	v	1
charier	chary	a	1
chariest	chary	a	1
charred	char	v	1
charring	char	v	1
chasidim	chasid	n	0
chassidim	chassid	n	0
chateaux	chateau	n	1
chatted	chat	v	1
chattier	chatty	a	1
chattiest	chatty	a	1
chatting	chat	v	1
chazanim	chazan	n	1
chedarim	cheder	n	1
cheekier	cheeky	a	1
cheekiest	cheeky	a	1
cheerier	cheery	a	1
cheeriest	cheery	a	1
cheesier	cheesy	a	1
cheesiest	cheesy	a	1
chefs-d'ouvre	chef-d'ouvre	n	1
chelae	chela	n	1
chelicerae	chelicera	n	1
cherubim	cherub	n	1
chestier	chesty	a	1
chestiest	chesty	a	1
chevaux-de-frise	cheval-de-frise	n	0
chevied	chivy	v	1
chevies	chivy	v	1
chevying	chivy	v	1
chewier	chewy	a	1
chewiest	chewy	a	1
chiasmata	chiasma	n	1
chiasmi	chiasmus	n	1
chid	chide	v	1
chidden	chide	v	1
children	child	n	1
chillier	chilly	a	1
chillies	chilli	n	1
chilliest	chilly	a	1
chinese_eddoes	chinese_eddo	n	0
chinned	chin	v	1
chinning	chin	v	1
chintzier	chintzy	a	1
chintziest	chintzy	a	1
chipped	chip	v	1
chippier	chippy	a	1
chippiest	chippy	a	1
chipping	chip	v	0
chiselled	chisel	v	1
chiselling	chisel	v	1
chitarroni	chitarrone	n	1
chitchatted	chitchat	v	1
chitchatting	chitchat	v	1
chivied	chivy	v	1
chivved	chiv	v	1
chivvied	chivy	v	1
chivvies	chivy	v	1
chivving	chiv	v	1
chivvying	chivy	v	1
chlamydes	chlamys	n	1
chlamyses	chlamys	n	1
chondrified	chondrify	v	1
chondromata	chondroma	n	1
choosier	choosy	a	1
choosiest	choosy	a	1
chopped	chop	v	0
choppier	choppy	a	1
choppiest	choppy	a	1
chopping	chop	v	1
choragi	choragus	n	1
choriambi	choriambus	n	1
chose	choose	v	1
chosen	choose	v	0
choux	chou	n	1
chromonemata	chromonema	n	1
chrysalides	chrysalis	n	1
chubbier	chubby	a	1
chubbiest	chubby	a	1
chuffier	chuffy	a	1
chuffiest	chuffy	a	1
chugged	chug	v	1
chugging	chug	v	1
chummed	chum	v	1
chummier	chummy	a	1
chummiest	chummy	a	1
chumming	chum	v	1
chunkier	chunky	a	1
chunkiest	chunky	a	1
churchier	churchy	a	1
churchiest	churchy	a	1
chuvashes	chuvash	n	1
ciboria	ciborium	n	1
cicadae	cicada	n	1
cicale	cicala	n	1
cicatrices	cicatrix	n	1
ciceroni	cicerone	n	1
cicisbei	cicisbeo	n	1
cilia	cilium	n	1
cimices	cimex	n	1
cineraria	cinerarium	n	0
cingula	cingulum	n	1
cirri	cirrus	n	1
cirrocumuli	cirrocumulus	n	1
cirrostrati	cirrostratus	n	1
ciscoes	cisco	n	1
cisternae	cisterna	n	1
citified	citify	v	0
clad	clothe	v	0
cladding	clad	v	0
clammed	clam	v	1
clammier	clammy	a	1
clammiest	clammy	a	1
clamming	clam	v	1
clani	clarino	n	1
clanos	clarino	n	1
clapped	clap	v	1
clapping	clap	v	0
clarified	clarify	v	1
claroes	claro	n	1
classier	classy	a	1
classiest	classy	a	1
classified	classify	v	0
cleanlier	cleanly	a	1
cleanliest	cleanly	a	1
cleft	cleave	v	0
clemmed	clem	v	1
clemming	clem	v	1
clepsydrae	clepsydra	n	1
clept	clepe	v	1
clerklier	clerkly	a	1
clerkliest	clerkly	a	1
clinandria	clinandrium	n	1
clingfishes	clingfish	n	1
clipped	clip	v	0
clipping	clip	v	0
clitella	clitellum	n	1
cloacae	cloaca	n	1
clogged	clog	v	0
clogging	clog	v	0
clopped	clop	v	1
clopping	clop	v	0
clostridia	clostridium	n	0
clotted	clot	v	0
clotting	clot	v	0
cloudier	cloudy	a	1
cloudiest	cloudy	a	1
clove	cleave	v	0
cloven	cleave	v	0
cloverleaves	cloverleaf	n	1
clubbed	club	v	1
clubbier	clubby	a	1
clubbiest	clubby	a	1
clubbing	club	v	0
clumsier	clumsy	a	1
clumsiest	clumsy	a	1
clung	cling	v	1
clypei	clypeus	n	1
co-opted	coopt	v	1
co-opting	coopt	v	1
co-opts	coopts	v	1
co-ordinate	coordinate	v	0
co-ordinated	coordinate	v	0
co-ordinates	coordinate	v	1
co-ordinating	coordinate	v	1
co-starred	co-star	v	1
co-starring	co-star	v	1
coagula	coagulum	n	1
coalfishes	coalfish	n	1
cocci	coccus	n	0
coccyges	coccyx	n	1
cochleae	cochlea	n	1
cockier	cocky	a	1
cockiest	cocky	a	1
cockneyfied	cockneyfy	v	1
codded	cod	v	1
codding	cod	v	1
